Year,Box Office Collection,IMDB Rating,metascore,time_minute,Target,Imdb_genre_Comedy,Imdb_genre_Drama,Imdb_genre_Horror,Imdb_genre_Sci-Fi,Imdb_genre_Thriller
2001,8761608.0,73.0,88.0,111.0,Capolavoro Universale,True,False,False,False,False
2007,231450102.0,75.0,81.0,96.0,Capolavoro Universale,True,False,False,False,False
2016,19096003.0,73.0,77.0,104.0,Capolavoro Universale,True,False,False,False,False
1973,140000000.0,74.0,97.0,110.0,Capolavoro Universale,True,False,False,False,False
1985,385510205.0,85.0,87.0,116.0,Capolavoro Universale,True,False,False,False,False
2017,78944998.0,74.0,93.0,94.0,Capolavoro Universale,True,False,False,False,False
1971,20506260.0,80.0,93.0,118.0,Capolavoro Universale,False,True,False,False,False
2015,1548909.0,70.0,70.0,99.0,Flop,False,False,True,False,False
1998,69679794.5,44.0,19.0,93.0,Flop,False,False,True,False,False
2020,18976477.0,47.0,29.0,86.0,Flop,False,False,True,False,False
2006,18828036.0,50.0,17.0,84.0,Flop,False,False,True,False,False
2008,47782426.0,52.0,37.0,85.0,Flop,False,False,True,False,False
2007,9459740.0,46.0,24.0,96.0,Flop,False,False,True,False,False
2000,38574362.0,43.0,16.0,97.0,Flop,False,False,True,False,False
2006,67215435.0,50.0,27.0,87.0,Flop,False,False,True,False,False
2003,47289758.0,49.0,23.0,86.0,Flop,False,False,True,False,False
1989,69679794.5,45.0,14.0,100.0,Flop,False,False,True,False,False
2003,11559747.0,67.0,70.0,60.0,Flop,False,True,False,False,False
2018,51945949.0,32.0,30.0,93.0,Flop,False,False,True,False,False
2000,31320293.0,48.0,16.0,97.0,Flop,False,False,True,False,False
2017,82917283.0,45.0,25.0,102.0,Flop,False,True,False,False,False
2007,62226214.0,56.0,36.0,99.0,Flop,False,False,True,False,False
2007,84146832.0,59.0,29.0,96.0,Flop,False,True,False,False,False
1997,26570463.0,51.0,31.0,98.0,Flop,True,False,False,False,False
2001,6755271.0,52.0,35.0,90.0,Flop,False,False,True,False,False
1998,40020622.0,47.0,21.0,100.0,Flop,False,False,True,False,False
2008,57193655.0,53.0,45.0,92.0,Flop,False,False,True,False,False
2011,41642166.0,60.0,35.0,92.0,Flop,False,True,False,False,False
2014,103300632.0,45.0,38.0,89.0,Flop,False,False,False,False,True
2012,101759490.0,42.0,18.0,83.0,Flop,False,False,True,False,False
1992,69679794.5,29.0,70.0,95.0,Flop,True,False,False,False,False
2019,69679794.5,74.0,62.0,113.0,Crowd Pleaser,False,True,False,False,False
2011,69679794.5,45.0,22.0,96.0,Flop,False,False,True,False,False
2019,943159.0,44.0,31.0,84.0,Flop,False,False,True,False,False
2010,708753.0,60.0,28.0,112.0,Flop,False,False,True,False,False
2001,4288246.0,38.0,20.0,84.0,Flop,False,False,True,False,False
2002,34409206.0,54.0,15.0,88.0,Flop,False,False,True,False,False
2005,37048526.0,68.0,55.0,89.0,Flop,False,False,True,False,False
2017,61308153.0,52.0,27.0,109.0,Flop,False,True,False,False,False
2004,16873925.0,48.0,24.0,102.0,Flop,False,False,True,False,False
2016,10904495.0,44.0,27.0,92.0,Flop,False,False,True,False,False
2003,13860078.0,21.0,15.0,90.0,Flop,False,False,True,False,False
2012,10637281.0,41.0,18.0,82.0,Flop,False,False,True,False,False
2000,40435694.0,50.0,17.0,107.0,Flop,False,False,True,False,False
2008,15318257.0,39.0,28.0,85.0,Flop,False,False,True,False,False
2005,10588079.0,24.0,9.0,96.0,Flop,False,False,True,False,False
2009,69679794.5,74.0,70.0,30.0,Crowd Pleaser,False,True,False,False,False
2016,3503761.0,39.0,31.0,91.0,Flop,False,False,True,False,False
2016,30351664.0,56.0,56.0,93.0,Flop,False,False,True,False,False
2008,44513466.0,40.0,24.0,87.0,Flop,False,False,True,False,False
1986,38500726.0,65.0,49.0,107.0,Flop,True,False,False,False,False
2002,5345869.0,74.0,33.0,107.0,Crowd Pleaser,False,True,False,False,False
2002,69671205.0,79.0,85.0,120.0,Capolavoro Universale,False,True,False,False,False
1989,30050028.0,66.0,36.0,114.0,Flop,False,False,False,False,True
2010,165720921.0,68.0,69.0,98.0,Gemma della Critica,False,False,False,False,True
1971,107190108.0,64.0,40.0,111.0,Gemma della Critica,True,False,False,False,False
